DTYYYYMMDD,Open,High,Low,Close,Vol
20151021,1.23881,1.23998,1.23881,1.23994,1539.0
20151022,1.23995,1.24034,1.23941,1.23986,3667.0
20151023,1.23986,1.23987,1.238,1.23915,5284.0
20151024,1.23915,1.23924,1.23826,1.23898,4468.0
20151025,1.23898,1.23933,1.23824,1.23895,3072.0
20151026,1.23895,1.2405,1.23892,1.24023,6926.0
20151027,1.24023,1.24023,1.23918,1.23955,4096.0
20151028,1.23955,1.23964,1.23868,1.23916,3872.0
20151029,1.23915,1.23971,1.23708,1.23786,5869.0
20151030,1.23786,1.2393,1.23697,1.23703,10676.0
20151031,1.23702,1.2399,1.23675,1.23916,8663.0
20151101,1.23917,1.24165,1.23917,1.24089,6680.0
20151102,1.24088,1.24107,1.23775,1.23838,6495.0
20151103,1.23836,1.23962,1.23776,1.23893,6344.0
20151104,1.23893,1.23976,1.2372,1.23734,8437.0
20151105,1.23735,1.23859,1.23654,1.23749,9239.0
20151106,1.23748,1.23936,1.23661,1.23792,12337.0
20151107,1.23792,1.23827,1.23683,1.23712,8400.0
20151108,1.23713,1.23715,1.23592,1.23624,6234.0
20151109,1.23623,1.23631,1.23551,1.23561,4917.0
20151110,1.23562,1.23586,1.23361,1.23453,4851.0
20151111,1.23454,1.23568,1.2341,1.23476,5507.0
20151112,1.23476,1.23531,1.23462,1.23504,1302.0
20151113,1.23492,1.23529,1.23397,1.23505,176.0
20151114,1.23505,1.23505,1.23457,1.23485,1041.0
20151115,1.23485,1.23608,1.23481,1.23608,4091.0
20151116,1.23609,1.23701,1.23549,1.23655,4943.0
20151117,1.23656,1.23657,1.23541,1.2358,3540.0
20151118,1.23581,1.23588,1.23422,1.23427,3520.0
20151119,1.23428,1.23449,1.23302,1.23415,3118.0
20151120,1.23414,1.23445,1.23366,1.23373,3465.0
20151121,1.23371,1.2349,1.23341,1.23455,3845.0
20151122,1.23452,1.23617,1.234,1.23483,6433.0
20151123,1.23483,1.23537,1.23072,1.23089,10095.0
20151124,1.23091,1.23326,1.23075,1.23244,7750.0
20151125,1.23243,1.23253,1.23076,1.23127,6735.0
20151126,1.23126,1.23245,1.2307,1.23245,5947.0
20151127,1.23248,1.23285,1.22996,1.23005,6222.0
20151128,1.23005,1.23287,1.22947,1.23207,13782.0
20151129,1.23207,1.23275,1.23086,1.23166,13036.0
20151130,1.23166,1.23234,1.22832,1.23039,15495.0
20151201,1.23038,1.23261,1.23033,1.23211,9999.0
20151202,1.23212,1.23269,1.23109,1.23244,5546.0
20151203,1.23244,1.23336,1.23214,1.23303,3148.0
20151204,1.23304,1.23368,1.23207,1.23226,3210.0
20151205,1.23225,1.23283,1.23131,1.23271,5015.0
20151206,1.23271,1.23277,1.23148,1.2319,1545.0
20151207,1.23183,1.23223,1.23105,1.23122,308.0
20151208,1.23123,1.23145,1.23073,1.23073,886.0
20151209,1.23072,1.23125,1.23023,1.23096,2776.0
20151210,1.23097,1.23128,1.23075,1.23094,3902.0
20151211,1.23093,1.231,1.23027,1.23076,2269.0
20151212,1.23077,1.23152,1.23063,1.23124,2354.0
20151213,1.23123,1.23187,1.23114,1.23143,2463.0
20151214,1.23143,1.23184,1.23121,1.23138,2096.0
20151215,1.23137,1.2327,1.23127,1.23217,2770.0
20151216,1.2321,1.23244,1.2308,1.23186,6301.0
20151217,1.23187,1.23239,1.23104,1.23199,7917.0
20151218,1.23199,1.23243,1.23121,1.23161,5891.0
20151219,1.2316,1.23245,1.23116,1.2323,5972.0
20151220,1.23231,1.23336,1.23196,1.2326,4155.0
20151221,1.23259,1.23261,1.2315,1.23241,4349.0
20151222,1.23242,1.23433,1.23216,1.23388,9208.0
20151223,1.23386,1.23458,1.2332,1.23379,8541.0
20151224,1.23378,1.23417,1.23158,1.23245,15132.0
20151225,1.23244,1.23265,1.23003,1.2306,8078.0
20151226,1.23062,1.23109,1.22933,1.2301,5184.0
20151227,1.23011,1.23102,1.22937,1.22986,4820.0
20151228,1.22976,1.23843,1.22712,1.23679,26959.0
20151229,1.23681,1.23935,1.23509,1.23735,18999.0
20151230,1.23735,1.23774,1.23676,1.23704,2003.0
20151231,1.2371,1.23727,1.23689,1.23717,193.0
20160101,1.23715,1.23999,1.23706,1.23861,2425.0
20160102,1.23861,1.23995,1.23861,1.2393,5373.0
20160103,1.23931,1.23953,1.23695,1.23771,6258.0
20160104,1.2377,1.23885,1.23755,1.2387,4538.0
20160105,1.2387,1.23918,1.23822,1.23843,3041.0
20160106,1.2384,1.2395,1.23827,1.23891,2802.0
20160107,1.23892,1.23943,1.23861,1.23896,2786.0
20160108,1.23897,1.23963,1.23812,1.23831,3988.0
20160109,1.23827,1.23952,1.23712,1.23726,6312.0
20160110,1.23726,1.23928,1.23593,1.23699,9519.0
20160111,1.23698,1.23734,1.23302,1.23434,8545.0
20160112,1.23434,1.23453,1.23096,1.23149,7466.0
20160113,1.23148,1.23387,1.23105,1.2327,6488.0
20160114,1.2327,1.2388,1.22638,1.22914,18251.0
20160115,1.22914,1.23262,1.22882,1.23,16015.0
20160116,1.23001,1.23249,1.22679,1.2272,18676.0
20160117,1.22717,1.22991,1.22384,1.22916,15120.0
20160118,1.22916,1.22998,1.22435,1.22577,10947.0
20160119,1.22576,1.22648,1.22306,1.22429,7801.0
20160120,1.2243,1.22539,1.22366,1.22503,7284.0
20160121,1.22503,1.2253,1.22281,1.2231,9863.0
20160122,1.22309,1.22413,1.22281,1.2237,10288.0
20160123,1.22371,1.22417,1.22221,1.22223,3680.0
20160124,1.22226,1.22268,1.22226,1.2225,279.0
20160125,1.2225,1.22277,1.22185,1.22199,912.0
20160126,1.22199,1.222,1.22039,1.22103,4311.0
